Resource,Move Resource Group,Move Subscription,Move Region,Move Support Detail,Strategy - Notes for CSP Migration,URL1_ResourceProviderMigrationSupportGuidance,Name_ResourceProviderMoveGuidance,URL_ARM Extension Resource Types,Name_ARM Extension Resource Types,URL_Azure Resource Provider to ServicesMap,Name_Azure Resource Provider to ServicesMap,URL_Azure resources to Services Mapping,Name_Azure resources to Services Mapping
Microsoft.AAD/domainservices,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.AAD/domainservices,Not a supported Move! - Customers can reconfigure any customizations in the new subscription Note: Azure AADDS Resources for B2C or B2B access will need to be removed and restored to the new subscription please backup all Identity access profiles for re-porivisioning. - Microsoft.AAD/domainservices,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftaad,Azure ARM Resource Move Guidance for Microsoft.AAD,No ARM Extension Resource Types Listed for Microsoft.AAD/domainservices,No ARM Extension Resource Types Listed for Microsoft.AAD,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory-domain-services/index.yml#,Resource Provider to Services Map - Microsoft.AAD,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory-domain-services/index.yml#,Identity Services - Microsoft.AAD
microsoft.aadiam/diagnosticsettings,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  microsoft.aadiam/diagnosticsettings,Not a supported Move! - Customer can reconfigure any customizations in the new subscription.  - microsoft.aadiam/diagnosticsettings,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftaadiam,Azure ARM Resource Move Guidance for microsoft.aadiam,No ARM Extension Resource Types Listed for microsoft.aadiam/diagnosticsettings,No ARM Extension Resource Types Listed for microsoft.aadiam,The Resource Provider  microsoft.aadiam/diagnosticsettings does not have a Linked Page,No Resource Provider to Services Map listing for Microsoft.ADHybridHealthService,No Resource Provider to Services Map listing for Microsoft.ADHybridHealthService,No Resource Provider to Services Map listing for Microsoft.ADHybridHealthService
microsoft.aadiam/diagnosticsettingscategories,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  microsoft.aadiam/diagnosticsettingscategories,Not a supported Move! - Customer can reconfigure any customizations in the new subscription.  - microsoft.aadiam/diagnosticsettingscategories,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftaadiam,Azure ARM Resource Move Guidance for microsoft.aadiam,No ARM Extension Resource Types Listed for microsoft.aadiam/diagnosticsettingscategories,No ARM Extension Resource Types Listed for microsoft.aadiam,The Resource Provider  microsoft.aadiam/diagnosticsettingscategories does not have a Linked Page,No Resource Provider to Services Map listing for Microsoft.ADHybridHealthService,No Resource Provider to Services Map listing for Microsoft.ADHybridHealthService,No Resource Provider to Services Map listing for Microsoft.ADHybridHealthService
microsoft.aadiam/privatelinkforazuread,1,1,0,Full Support RG/Sub Resource Type Moves for   microsoft.aadiam/privatelinkforazuread,Full Support RG/Sub Resource Type Moves for microsoft.aadiam/privatelinkforazuread,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftaadiam,Azure ARM Resource Move Guidance for microsoft.aadiam,No ARM Extension Resource Types Listed for microsoft.aadiam/privatelinkforazuread,No ARM Extension Resource Types Listed for microsoft.aadiam,The Resource Provider  microsoft.aadiam/privatelinkforazuread does not have a Linked Page,No Resource Provider to Services Map listing for Microsoft.ADHybridHealthService,No Resource Provider to Services Map listing for Microsoft.ADHybridHealthService,No Resource Provider to Services Map listing for Microsoft.ADHybridHealthService
microsoft.aadiam/tenants,1,1,0,Full Support RG/Sub Resource Type Moves for   microsoft.aadiam/tenants,Full Support RG/Sub Resource Type Moves for microsoft.aadiam/tenants,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftaadiam,Azure ARM Resource Move Guidance for microsoft.aadiam,No ARM Extension Resource Types Listed for microsoft.aadiam/tenants,No ARM Extension Resource Types Listed for microsoft.aadiam,The Resource Provider  microsoft.aadiam/tenants does not have a Linked Page,No Resource Provider to Services Map listing for Microsoft.ADHybridHealthService,No Resource Provider to Services Map listing for Microsoft.ADHybridHealthService,No Resource Provider to Services Map listing for Microsoft.ADHybridHealthService
Microsoft.Addons/supportproviders,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.Addons/supportproviders,Not a supported Move! - Look for more Information in the links. - Microsoft.Addons/supportproviders,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftaddons,Azure ARM Resource Move Guidance for Microsoft.Addons,No ARM Extension Resource Types Listed for Microsoft.Addons/supportproviders,No ARM Extension Resource Types Listed for Microsoft.Addons,The Resource Provider core does not have a linked Page,No Resource Provider to Services Map listing for Microsoft.ADHybridHealthService,The Resource Provider core does not have a linked Page,Core Services - Microsoft.Addons
Microsoft.ADHybridHealthService/aadsupportcases,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.ADHybridHealthService/aadsupportcases,Not a supported Move! - Look for more Information in the links. -  Microsoft.ADHybridHealthService/aadsupportcases,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadhybridhealthservice,Azure ARM Resource Move Guidance for Microsoft.ADHybridHealthService,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService/aadsupportcases,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Resource Provider to Services Map - Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Identity Services - Microsoft.ADHybridHealthService - registered by default
Microsoft.ADHybridHealthService/addsservices,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.ADHybridHealthService/addsservices,Not a supported Move! - Look for more Information in the links. - Microsoft.ADHybridHealthService/addsservices,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadhybridhealthservice,Azure ARM Resource Move Guidance for Microsoft.ADHybridHealthService,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService/addsservices,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Resource Provider to Services Map - Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Identity Services - Microsoft.ADHybridHealthService - registered by default
Microsoft.ADHybridHealthService/agents,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.ADHybridHealthService/agents,Not a supported Move! - Look for more Information in the links. -  Microsoft.ADHybridHealthService/agents,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadhybridhealthservice,Azure ARM Resource Move Guidance for Microsoft.ADHybridHealthService,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService/agents,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Resource Provider to Services Map - Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Identity Services - Microsoft.ADHybridHealthService - registered by default
Microsoft.ADHybridHealthService/anonymousapiusers,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.ADHybridHealthService/anonymousapiusers,Not a supported Move! - Look for more Information in the links. -  Microsoft.ADHybridHealthService/anonymousapiusers,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadhybridhealthservice,Azure ARM Resource Move Guidance for Microsoft.ADHybridHealthService,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService/anonymousapiusers,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Resource Provider to Services Map - Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Identity Services - Microsoft.ADHybridHealthService - registered by default
Microsoft.ADHybridHealthService/configuration,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.ADHybridHealthService/configuration,Not a supported Move! - Look for more Information in the links. -  Microsoft.ADHybridHealthService/configuration,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadhybridhealthservice,Azure ARM Resource Move Guidance for Microsoft.ADHybridHealthService,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService/configuration,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Resource Provider to Services Map - Microsoft.AVS,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Identity Services - Microsoft.ADHybridHealthService - registered by default
Microsoft.ADHybridHealthService/logs,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.ADHybridHealthService/logs,Not a supported Move! - Look for more Information in the links. -  Microsoft.ADHybridHealthService/logs,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadhybridhealthservice,Azure ARM Resource Move Guidance for Microsoft.ADHybridHealthService,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService/logs,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Resource Provider to Services Map - Microsoft.Addons,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Identity Services - Microsoft.ADHybridHealthService - registered by default
Microsoft.ADHybridHealthService/reports,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.ADHybridHealthService/reports,Not a supported Move! - Look for more Information in the links. -  Microsoft.ADHybridHealthService/reports,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadhybridhealthservice,Azure ARM Resource Move Guidance for Microsoft.ADHybridHealthService,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService/reports,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Resource Provider to Services Map - Microsoft.Advisor,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Identity Services - Microsoft.ADHybridHealthService - registered by default
Microsoft.ADHybridHealthService/servicehealthmetrics,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.ADHybridHealthService/servicehealthmetrics,Not a supported Move! - Look for more Information in the links. -  Microsoft.ADHybridHealthService/servicehealthmetrics,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadhybridhealthservice,Azure ARM Resource Move Guidance for Microsoft.ADHybridHealthService,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService/servicehealthmetrics,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Resource Provider to Services Map - Microsoft.Advisor,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Identity Services - Microsoft.ADHybridHealthService - registered by default
Microsoft.ADHybridHealthService/services,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.ADHybridHealthService/services,Not a supported Move! - Look for more Information in the links. -  Microsoft.ADHybridHealthService/services,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadhybridhealthservice,Azure ARM Resource Move Guidance for Microsoft.ADHybridHealthService,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService/services,No ARM Extension Resource Types Listed for Microsoft.ADHybridHealthService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Resource Provider to Services Map - Microsoft.Advisor,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/active-directory/index.yml#,Identity Services - Microsoft.ADHybridHealthService - registered by default
Microsoft.Advisor/configurations,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.Advisor/configurations,Not a supported Move! - Only a few Microsoft.Advisor Scenarios are supported - Look for more Information in the links. - Microsoft.Advisor/configurations,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadvisor,Azure ARM Resource Move Guidance for Microsoft.Advisor,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/extension-resource-types#microsoftadvisor,ARM Extension Resource Types for Microsoft.Advisor,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/advisor#,Resource Provider to Services Map - Microsoft.Advisor,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/advisor#,Management Services - Microsoft.Advisor
Microsoft.Advisor/generaterecommendations,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.Advisor/generaterecommendations,Not a supported Move! - Only a few Microsoft.Advisor Scenarios are supported - Look for more Information in the links. - Microsoft.Advisor/generaterecommendations,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadvisor,Azure ARM Resource Move Guidance for Microsoft.Advisor,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/extension-resource-types#microsoftadvisor,ARM Extension Resource Types for Microsoft.Advisor,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/advisor#,Resource Provider to Services Map - Microsoft.Advisor,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/advisor#,Management Services - Microsoft.Advisor
Microsoft.Advisor/metadata,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.Advisor/metadata,Not a supported Move! - Only a few Microsoft.Advisor Scenarios are supported - Look for more Information in the links. - Microsoft.Advisor/metadata,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadvisor,Azure ARM Resource Move Guidance for Microsoft.Advisor,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/extension-resource-types#microsoftadvisor,ARM Extension Resource Types for Microsoft.Advisor,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/advisor#,Resource Provider to Services Map - Microsoft.AlertsManagement,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/advisor#,Management Services - Microsoft.Advisor
Microsoft.Advisor/recommendations,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.Advisor/recommendations,Not a supported Move! - Only a few Microsoft.Advisor Scenarios are supported - Look for more Information in the links. - Microsoft.Advisor/recommendations,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadvisor,Azure ARM Resource Move Guidance for Microsoft.Advisor,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/extension-resource-types#microsoftadvisor,ARM Extension Resource Types for Microsoft.Advisor,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/advisor#,Resource Provider to Services Map - Microsoft.AlertsManagement,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/advisor#,Management Services - Microsoft.Advisor
Microsoft.Advisor/suppressions,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.Advisor/suppressions,Not a supported Move! - Only a few Microsoft.Advisor Scenarios are supported - Look for more Information in the links. - Microsoft.Advisor/suppressions,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftadvisor,Azure ARM Resource Move Guidance for Microsoft.Advisor,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/extension-resource-types#microsoftadvisor,ARM Extension Resource Types for Microsoft.Advisor,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/advisor#,Resource Provider to Services Map - Microsoft.AlertsManagement,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/advisor#,Management Services - Microsoft.Advisor
Microsoft.AlertsManagement/actionrules,1,1,0,Full Support RG/Sub Resource Type Moves for   Microsoft.AlertsManagement/actionrules,Full Support RG/Sub Resource Type Moves for Microsoft.AlertsManagement/actionrules,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftalertsmanagement,Azure ARM Resource Move Guidance for Microsoft.AlertsManagement,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/extension-resource-types#microsoftalertsmanagement,ARM Extension Resource Types for Microsoft.AlertsManagement,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/azure-monitor#,Resource Provider to Services Map - Microsoft.AlertsManagement,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/azure-monitor#,Monitoring Services - Microsoft.AlertsManagement
Microsoft.AlertsManagement/alertprocessingrules,0,1,0,Partially Supported Move!  Partial support for  RG/Sub Resource Type  Microsoft.AlertsManagement/alertprocessingrules,Partial Subscription Move Only Resorce Type Moves for Microsoft.AlertsManagement/alertprocessingrules ,,,,,,,,
Microsoft.AlertsManagement/alerts,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.AlertsManagement/alerts,Not a Supported Move! - Only a few Microsoft.AlertsManagement scenarios are supported. - Look for more Information in the links. - Microsoft.AlertsManagement/alerts,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftalertsmanagement,Azure ARM Resource Move Guidance for Microsoft.AlertsManagement,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/extension-resource-types#microsoftalertsmanagement,ARM Extension Resource Types for Microsoft.AlertsManagement,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/azure-monitor#,Resource Provider to Services Map - Microsoft.AlertsManagement,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/azure-monitor#,Monitoring Services - Microsoft.AlertsManagement
Microsoft.AlertsManagement/alertslist,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.AlertsManagement/alertslist,Not a Supported Move! - Only a few Microsoft.AlertsManagement scenarios are supported. - Look for more Information in the links. - Microsoft.AlertsManagement/alertslist,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftalertsmanagement,Azure ARM Resource Move Guidance for Microsoft.AlertsManagement,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/extension-resource-types#microsoftalertsmanagement,ARM Extension Resource Types for Microsoft.AlertsManagement,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/azure-monitor#,Resource Provider to Services Map - Microsoft.AlertsManagement,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/azure-monitor#,Monitoring Services - Microsoft.AlertsManagement
Microsoft.AlertsManagement/alertsmetadata,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.AlertsManagement/alertsmetadata,Supported Move! - Only a few Microsoft.AlertsManagement scenarios are supported. - Look for more Information in the links. - Microsoft.AlertsManagement/alertsmetadata,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftalertsmanagement,Azure ARM Resource Move Guidance for Microsoft.AlertsManagement,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/extension-resource-types#microsoftalertsmanagement,ARM Extension Resource Types for Microsoft.AlertsManagement,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/azure-monitor#,Resource Provider to Services Map - Microsoft.AlertsManagement,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/azure-monitor#,Monitoring Services - Microsoft.AlertsManagement
Microsoft.AlertsManagement/alertssummary,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.AlertsManagement/alertssummary,Not a Supported Move! - Only a few Microsoft.AlertsManagement scenarios are supported. - Look for more Information in the links. - Microsoft.AlertsManagement/alertssummary,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftalertsmanagement,Azure ARM Resource Move Guidance for Microsoft.AlertsManagement,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/extension-resource-types#microsoftalertsmanagement,ARM Extension Resource Types for Microsoft.AlertsManagement,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/azure-monitor#,Resource Provider to Services Map - Microsoft.AlertsManagement,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/azure-monitor#,Monitoring Services - Microsoft.AlertsManagement
Microsoft.AlertsManagement/alertssummarylist,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.AlertsManagement/alertssummarylist,Not a Supported Move! - Only a few Microsoft.AlertsManagement scenarios are supported. - Look for more Information in the links. - Microsoft.AlertsManagement/alertssummarylist,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftalertsmanagement,Azure ARM Resource Move Guidance for Microsoft.AlertsManagement,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/extension-resource-types#microsoftalertsmanagement,ARM Extension Resource Types for Microsoft.AlertsManagement,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/azure-monitor#,Resource Provider to Services Map - Microsoft.AnalysisServices,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/azure-monitor#,Monitoring Services - Microsoft.AlertsManagement
Microsoft.AlertsManagement/smartdetectoralertrules,1,1,0,Full Support RG/Sub Resource Type Moves for   Microsoft.AlertsManagement/smartdetectoralertrules,Full Support RG/Sub Resource Type Moves for Microsoft.AlertsManagement/smartdetectoralertrules,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftalertsmanagement,Azure ARM Resource Move Guidance for Microsoft.AlertsManagement,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/extension-resource-types#microsoftalertsmanagement,ARM Extension Resource Types for Microsoft.AlertsManagement,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/azure-monitor#,Resource Provider to Services Map - Microsoft.ApiManagement,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/azure-monitor#,Monitoring Services - Microsoft.AlertsManagement
Microsoft.AlertsManagement/smartgroups,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.AlertsManagement/smartgroups,Not a Supported Move! - Only a few Microsoft.AlertsManagement scenarios are supported. - Look for more Information in the links. - Microsoft.AlertsManagement/smartgroups,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftalertsmanagement,Azure ARM Resource Move Guidance for Microsoft.AlertsManagement,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/extension-resource-types#microsoftalertsmanagement,ARM Extension Resource Types for Microsoft.AlertsManagement,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/azure-monitor#,Resource Provider to Services Map - Microsoft.ApiManagement,https://github.com/MicrosoftDocs/azure-docs/blob/main/azure/azure-monitor#,Monitoring Services - Microsoft.AlertsManagement
Microsoft.AnalysisServices/servers,1,1,0,Full Support RG/Sub Resource Type Moves for   Microsoft.AnalysisServices/servers,Full Support RG/Sub Resource Type Moves for Microsoft.AnalysisServices/servers,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftanalysisservices,Azure ARM Resource Move Guidance for Microsoft.AnalysisServices,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/extension-resource-types#microsoftalertsmanagement,ARM Extension Resource Types for Microsoft.AnalysisServices,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/analysis-services/index.yml#,Resource Provider to Services Map - Microsoft.AppConfiguration,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/analysis-services/index.yml#,analytics services  - Microsoft.AnalysisServices
Microsoft.ApiManagement/reportfeedback,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.ApiManagement/reportfeedback,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.ApiManagement/reportfeedback,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftapimanagement,Azure ARM Resource Move Guidance for Microsoft.ApiManagement,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/extension-resource-types#microsoftalertsmanagement,ARM Extension Resource Types for Microsoft.ApiManagement,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/api-management/index.yml#,Resource Provider to Services Map - Microsoft.AppConfiguration,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/api-management/index.yml#,Integration Services - Microsoft.ApiManagement
Microsoft.ApiManagement/service,1,1,1,Full Support RG/Sub Resource Type Moves for   Microsoft.ApiManagement/service,Full Support RG/Sub Resource Type Moves for   Microsoft.ApiManagement/service,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftapimanagement,Azure ARM Resource Move Guidance for Microsoft.ApiManagement,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/extension-resource-types#microsoftalertsmanagement,ARM Extension Resource Types for Microsoft.ApiManagement,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/api-management/index.yml#,Resource Provider to Services Map - Microsoft.AppPlatform,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/api-management/index.yml#,Integration Services - Microsoft.ApiManagement
microsoft.app/managedenvironments,1,1,0,Full Support RG/Sub Resource Type Moves for   microsoft.app/managedenvironments,Full Support RG/Sub Resource Type Moves for   microsoft.app/managedenvironments,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftapp,Azure ARM Resource Move Guidance for microsoft.app,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/extension-resource-types#microsoftapp,ARM Extension Resource Types for microsoft.app,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/container-apps/index.yml#,Resource Provider to Services Map - Microsoft.AppService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/container-apps/index.yml#,Container - Microsoft.App
Microsoft.AppConfiguration/configurationstores,1,1,0,Full Support RG/Sub Resource Type Moves for   Microsoft.AppConfiguration/configurationstores,Full Support RG/Sub Resource Type Moves for   Microsoft.AppConfiguration/configurationstores,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftappconfiguration,Azure ARM Resource Move Guidance for Microsoft.AppConfiguration,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/extension-resource-types#microsoftapp,ARM Extension Resource Types for Microsoft.AppConfiguration,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/azure-app-configuration/index.yml#,Resource Provider to Services Map - Microsoft.AppService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/azure-app-configuration/index.yml#,developer tools services - Microsoft.AppConfiguration
Microsoft.AppConfiguration/configurationstores/eventgridfilters,0,0,0,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.AppConfiguration/configurationstores/eventgridfilters,Non Supported Move! No support for  RG/Sub Resource Type  Microsoft.AppConfiguration/configurationstores/eventgridfilters,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftappconfiguration,Azure ARM Resource Move Guidance for Microsoft.AppConfiguration,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/extension-resource-types#microsoftapp,ARM Extension Resource Types for Microsoft.AppConfiguration,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/azure-app-configuration/index.yml#,Resource Provider to Services Map - Microsoft.AppService,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/azure-app-configuration/index.yml#,developer tools services - Microsoft.AppConfiguration
Microsoft.AppPlatform/spring,1,1,0,Full Support RG/Sub Resource Type Moves for   Microsoft.AppPlatform/spring,Full Support RG/Sub Resource Type Moves for   Microsoft.AppPlatform/spring,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/move-support-resources#microsoftappplatform,Azure ARM Resource Move Guidance for Microsoft.AppPlatform,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/extension-resource-types#microsoftapp,ARM Extension Resource Types for Microsoft.AppPlatform,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/spring-apps/enterprise/overview.md#,Resource Provider to Services Map - Microsoft.Attestation,https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/spring-apps/enterprise/overview.md#,Compute  - Microsoft.AppPlatform
